x,u
3.146388649975639940e+00,-2.114227410253538553e-01
3.188392650820551566e+00,3.894508615786394790e-02
3.232406869076514866e+00,3.037884376596606817e-01
3.321174585208556795e+00,8.093664460575482611e-01
3.329194218149302831e+00,8.539945780768322114e-01
3.335142208134425523e+00,8.869652058996857491e-01
3.366133486604598879e+00,1.050345886819333607e+00
3.399827653086405110e+00,1.218663443559479420e+00
3.419712830549882288e+00,1.314067920952393331e+00
3.448640281261367235e+00,1.444451543086871181e+00
3.479362442138044909e+00,1.572395762675515174e+00
3.481217248060674674e+00,1.582736056775036815e+00
3.525075566715260234e+00,1.742617187035895077e+00
3.543808993188925172e+00,1.803764572262199106e+00
3.552010022937119427e+00,1.829237466937049028e+00
3.555015412344208148e+00,1.842877705377657938e+00
3.659243245812445533e+00,2.079427229475495853e+00
3.732952992252681845e+00,2.157345489256345061e+00
3.737187837728089601e+00,2.163337447150575521e+00
3.825496252228993477e+00,2.151227251868921275e+00
3.923702038000848713e+00,2.035694574372000965e+00
3.940309440400216801e+00,2.001657856415496095e+00
3.946619233189417653e+00,1.988807647342561102e+00
3.963515386354141246e+00,1.955415552681064373e+00
3.975440386395278747e+00,1.930467876065772082e+00
3.981746454141571689e+00,1.916189528903386119e+00
4.030756851107634375e+00,1.802687616478933608e+00
4.046054044466756316e+00,1.762852473586494995e+00
4.046530413154455275e+00,1.760621672891229617e+00
4.059462476137749576e+00,1.727299257510074737e+00
4.061269909288252933e+00,1.722100238809169959e+00
4.063625495399539211e+00,1.715359453786994948e+00
4.084462767451869425e+00,1.659759729576295584e+00
4.088920723544270608e+00,1.646489891395741978e+00
4.097680155652692946e+00,1.621351328899285127e+00
4.127877516180265438e+00,1.535107318834593615e+00
4.164203439500810511e+00,1.429000627809103863e+00
4.193053736996352754e+00,1.343581311674948209e+00
4.195373254364092475e+00,1.333841832286872808e+00
4.228033931839341619e+00,1.237358566116780079e+00
4.248251959597423522e+00,1.176487577694655284e+00
4.257831019370136083e+00,1.144421373906023387e+00
4.301750104091125237e+00,1.011991253155697823e+00
