x,v
5.887771784468270653e+00,-1.512744811015950264e+00
5.930176192507081723e+00,-1.693729882794985153e+00
5.930863030353333620e+00,-1.698972666412001731e+00
5.951336599737444111e+00,-1.781860306287902596e+00
5.977784956642526737e+00,-1.885274700286561522e+00
6.032391704613339733e+00,-2.068565667261522023e+00
6.054623607860038170e+00,-2.135128395014128433e+00
6.077848458755467753e+00,-2.196900048136410266e+00
6.092966575526350681e+00,-2.233307816323472750e+00
6.106664109023033582e+00,-2.264886666906330337e+00
6.161242914476845023e+00,-2.357200515231040683e+00
6.165419080404336505e+00,-2.362384814216703433e+00
6.167844221565357721e+00,-2.364981584102058942e+00
6.177214773666791281e+00,-2.375774051754627969e+00
6.195685308667465030e+00,-2.393243275088738908e+00
6.232620707005563254e+00,-2.410801194340384423e+00
6.245600496257909029e+00,-2.412159476403677338e+00
6.246045411718541551e+00,-2.412106745667999874e+00
6.254069209920448458e+00,-2.411569212976435228e+00
6.269241810653020330e+00,-2.407755922667259796e+00
6.272298604377626319e+00,-2.406711872212746073e+00
6.294820974556209592e+00,-2.393279921506977992e+00
6.315402097768547662e+00,-2.375048020970450313e+00
6.395933847898251479e+00,-2.244411374599279974e+00
6.412144580875784428e+00,-2.201501135205986337e+00
6.417608793697819003e+00,-2.186802624525504335e+00
6.428148177588871803e+00,-2.159339129590801765e+00
6.429476433563273474e+00,-2.155586187639875195e+00
6.443062303610575192e+00,-2.117654011283610416e+00
6.448308519469399869e+00,-2.101894473095186733e+00
6.464609349551542650e+00,-2.048190766668736007e+00
6.550855597207290160e+00,-1.741555935950703349e+00
6.700447337942707193e+00,-1.055684096181446208e+00
6.727440894887203982e+00,-9.196625673482382579e-01
6.739488461339058212e+00,-8.585432833444336387e-01
6.748741925829927268e+00,-8.117949546437612796e-01
6.755336609753414656e+00,-7.780175575128056575e-01
6.778312860278467689e+00,-6.626367901734622201e-01
6.796296634578482099e+00,-5.703267148403137199e-01
6.851306878785730525e+00,-2.990885547813622036e-01
6.869552367794290682e+00,-2.077188580987459621e-01
6.905348665234640748e+00,-3.714815421516093341e-02
6.921904632562221771e+00,4.032966353588497699e-02
6.927515158115923555e+00,7.011383560887710087e-02
6.989032561600880378e+00,3.366114106181564702e-01
7.007041488593555023e+00,4.120301902027702634e-01
7.021218275055546520e+00,4.695803665814945460e-01
7.039960599239422301e+00,5.468227249097450393e-01
7.117787950177517864e+00,8.151389746377764034e-01
7.141958790571465876e+00,8.897706232289778194e-01
7.156450129686736439e+00,9.316526851046531554e-01
7.175024858589677201e+00,9.848715672999982518e-01
7.245275031292422341e+00,1.150472628791740615e+00
7.257368532342736600e+00,1.173679387531439078e+00
7.262918269816122319e+00,1.185743210153718863e+00
7.322460164001063809e+00,1.286160393061466012e+00
7.339097828454889338e+00,1.308537568744460255e+00
7.351665116576664438e+00,1.324560657143353470e+00
7.369616290476254328e+00,1.345891421013358569e+00
7.392579603322258386e+00,1.369996240555907852e+00
7.439115926299705528e+00,1.408361517388321049e+00
7.473622150267281938e+00,1.428665062292227894e+00
7.484241179936454991e+00,1.433698494541505886e+00
7.488454379565371966e+00,1.435826888566221315e+00
7.503120736586642359e+00,1.442212049736679269e+00
7.552660760136642004e+00,1.456428931049790210e+00
7.552672496321499729e+00,1.456769771306531958e+00
7.650970391478692179e+00,1.467035165399670937e+00
7.701976235971664586e+00,1.465715997656342973e+00
7.741831596252821690e+00,1.464356986885341660e+00
7.756553830255164428e+00,1.463410140313696095e+00
7.790263516508904473e+00,1.461919519682195245e+00
7.796057452143233313e+00,1.462230417727834020e+00
7.860450032301386614e+00,1.461382662944523902e+00
7.957153754663279344e+00,1.463680756018312934e+00
